DATE,IPN31152NQ
1972-01-01,67.0859
1972-04-01,87.8239
1972-07-01,94.0959
1972-10-01,63.2868
1973-01-01,71.1347
1973-04-01,93.6746
1973-07-01,99.5550
1973-10-01,67.5898
1974-01-01,74.1975
1974-04-01,95.0101
1974-07-01,98.1310
1974-10-01,66.9726
1975-01-01,74.9508
1975-04-01,98.6574
1975-07-01,101.0288
1975-10-01,69.5597
1976-01-01,74.3220
1976-04-01,98.1037
1976-07-01,101.1727
1976-10-01,68.3728
1977-01-01,76.2836
1977-04-01,102.1692
1977-07-01,103.4884
1977-10-01,68.2866
1978-01-01,72.8969
1978-04-01,97.6124
1978-07-01,100.4119
1978-10-01,69.8240
1979-01-01,74.4600
1979-04-01,98.6689
1979-07-01,103.0812
1979-10-01,70.2585
1980-01-01,76.4388
1980-04-01,96.2126
1980-07-01,102.1337
1980-10-01,68.8602
1981-01-01,74.5533
1981-04-01,97.8053
1981-07-01,102.7915
1981-10-01,71.5173
1982-01-01,75.8694
1982-04-01,95.5054
1982-07-01,95.1780
1982-10-01,66.5235
1983-01-01,74.8473
1983-04-01,96.0361
1983-07-01,102.9129
1983-10-01,71.6690
1984-01-01,83.1303
1984-04-01,112.9998
1984-07-01,116.2079
1984-10-01,80.8741
1985-01-01,88.0069
1985-04-01,116.5940
1985-07-01,115.3427
1985-10-01,77.1728
1986-01-01,87.5490
1986-04-01,114.9735
1986-07-01,112.4241
1986-10-01,78.0014
1987-01-01,90.6958
1987-04-01,118.5458
1987-07-01,119.2672
1987-10-01,84.5787
1988-01-01,97.6699
1988-04-01,133.4478
1988-07-01,134.5222
1988-10-01,90.3233
1989-01-01,102.4673
1989-04-01,129.2509
1989-07-01,124.6088
1989-10-01,91.3931
1990-01-01,101.1985
1990-04-01,129.9200
1990-07-01,129.0325
1990-10-01,90.6685
1991-01-01,102.7457
1991-04-01,136.1526
1991-07-01,132.4510
1991-10-01,94.8842
1992-01-01,110.7003
1992-04-01,145.4321
1992-07-01,139.3513
1992-10-01,100.6042
1993-01-01,117.4734
1993-04-01,152.1346
1993-07-01,146.6373
1993-10-01,98.7945
1994-01-01,117.8115
1994-04-01,148.4260
1994-07-01,140.2361
1994-10-01,102.0438
1995-01-01,122.1391
1995-04-01,157.7417
1995-07-01,158.5625
1995-10-01,110.2848
1996-01-01,127.8652
1996-04-01,164.3487
1996-07-01,152.8232
1996-10-01,101.6783
1997-01-01,122.9359
1997-04-01,145.8874
1997-07-01,133.4683
1997-10-01,94.5169
1998-01-01,114.7169
1998-04-01,141.3715
1998-07-01,127.9507
1998-10-01,85.8398
1999-01-01,97.8128
1999-04-01,119.2688
1999-07-01,115.1089
1999-10-01,85.3337
2000-01-01,109.9050
2000-04-01,140.7524
2000-07-01,131.4808
2000-10-01,98.2939
2001-01-01,113.3437
2001-04-01,138.2650
2001-07-01,134.9573
2001-10-01,108.2689
2002-01-01,139.9492
2002-04-01,174.4201
2002-07-01,162.3609
2002-10-01,118.9767
2003-01-01,137.4338
2003-04-01,153.8640
2003-07-01,137.9892
2003-10-01,105.3485
2004-01-01,123.5281
2004-04-01,156.0442
2004-07-01,151.7388
2004-10-01,123.7758
2005-01-01,145.9148
2005-04-01,179.3191
2005-07-01,174.4246
2005-10-01,124.4600
2006-01-01,143.8329
2006-04-01,170.0965
2006-07-01,162.2468
2006-10-01,113.7692
2007-01-01,139.4834
2007-04-01,172.4590
2007-07-01,152.8031
2007-10-01,109.9466
2008-01-01,124.2055
2008-04-01,151.6338
2008-07-01,136.2772
2008-10-01,98.3994
2009-01-01,113.0133
2009-04-01,140.4746
2009-07-01,128.8191
2009-10-01,90.8073
2010-01-01,109.6287
2010-04-01,137.0521
2010-07-01,123.4938
2010-10-01,83.8731
2011-01-01,104.3417
2011-04-01,117.8446
2011-07-01,111.0069
2011-10-01,79.6903
2012-01-01,99.1490
2012-04-01,117.9066
2012-07-01,105.4467
2012-10-01,77.4976
2013-01-01,94.6784
2013-04-01,115.8379
2013-07-01,105.5383
2013-10-01,79.6236
2014-01-01,100.6347
2014-04-01,122.3413
2014-07-01,109.7692
2014-10-01,84.4029
2015-01-01,98.5713
2015-04-01,110.1857
2015-07-01,106.9770
2015-10-01,85.5902
2016-01-01,103.6547
2016-04-01,126.2469
2016-07-01,118.0731
2016-10-01,89.7684
2017-01-01,108.7771
2017-04-01,120.7929
2017-07-01,109.1160
2017-10-01,81.2409
2018-01-01,96.7465
2018-04-01,115.7898
2018-07-01,111.0704
2018-10-01,83.7758
2019-01-01,100.4274
2019-04-01,118.1640
2019-07-01,104.3486
2019-10-01,81.2152
2020-01-01,92.4777
2020-04-01,111.0158
